permno,ticker,comnam
10000,OMFGA,OPTIMUM MANUFACTURING INC
10001,GFGC,GREAT FALLS GAS CO
10001,EWST,ENERGY WEST INC
10001,EWST,ENERGY WEST INC
10001,EGAS,ENERGY INC
10001,EGAS,ENERGY INC
10001,EGAS,GAS NATURAL INC
10002,MBNC,MOBILE NATIONAL CORP
10002,SABC,SOUTH ALABAMA BANCORPORATION INC
10002,SABC,SOUTH ALABAMA BANCORPORATION INC
10002,BTFG,BANCTRUST FINANCIAL GROUP INC
10003,GCBK,GREAT COUNTRY BK ASONIA CT
10003,GCBK,GREAT COUNTRY BK ASONIA CT
10004,CLSO,CLOSE OUTS PLUS INC
10005,WERC,WESTERN ENERGY RESOURCES INC
10006,,AMERICAN CAR & FDRY CO
10006,,A C F INDUSTRIES INC
10006,ACF,A C F INDUSTRIES INC
10006,ACF,A C F INDUSTRIES INC
10007,SDIC,SHAREDATA INC
10007,SDICV,SHAREDATA INC
10007,SDIC,SHAREDATA INC
10007,,SHAREDATA INC
10007,SHRD,SHAREDATA INC
10008,GACO,GARDENAMERICA CORP
10009,CAYB,CAYUGA SAVINGS BANK NY
10009,CAYB,CAYUGA SAVINGS BANK NY
10009,CAYB,CAYUGA SAVINGS BANK NY
10009,IROQ,IROQUOIS BANCORP INC
10009,IROQ,IROQUOIS BANCORP INC
10010,CBOT,CABOT MEDICAL CORP
10011,ATCE,A T C ENVIRONMENTAL INC
10011,ATCE,A T C ENVIRONMENTAL INC
10011,ATCS,A T C GROUP SERVICES INC
10012,DPAC,DENSE PACIFIC MICROSYSTEMS INC
10012,,DENSE PACIFIC MICROSYSTEMS INC
10012,DPAC,DENSE PACIFIC MICROSYSTEMS INC
10012,DPAC,DENSE PACIFIC MICROSYSTEMS INC
10012,DPAC,D P A C TECHNOLOGIES CORP
10012,DPAC,D P A C TECHNOLOGIES CORP
10013,AAPI,ARIZONA APPETITOS STORES INC
10014,,ALASKA JUNEAU GOLD MNG CO
10014,,ALASKA JUNEAU GOLD MNG CO
10014,,A J INDUSTRIES INC
10014,AJ,A J INDUSTRIES INC
10014,AJ,A J INDUSTRIES INC
10015,AMFD,A & M FOOD SERVICES INC
10016,FIGIA,FIGGIE INTERNATIONAL HLDGS INC
10016,FIGIA,FIGGIE INTERNATIONAL INC DEL
10016,SCTTA,SCOTT TECHNOLOGIES INC
10016,SCTT,SCOTT TECHNOLOGIES INC
10016,SCTT,SCOTT TECHNOLOGIES INC
10017,CCUR,CONCURRENT COMPUTER CORP
10018,DCIS,DELTA COMPUTEC INC
10019,IFRS,I F R SYSTEMS INC
10020,KEYC,KEY CENTURION BANCSHARES
10021,BIRI,BRAINERD INTERNATIONAL INC
10021,BIRI,BRAINERD INTERNATIONAL INC
10022,,AMERICAN SAFETY RAZOR CORP
10022,,A S R PRODS CORP
10023,,A A I CORP
10024,DOCX,DOCUGRAPHIX INC
10025,AEPI,A E P INDUSTRIES INC
10025,AEPI,A E P INDUSTRIES INC
10026,JJSF,J & J SNACK FOODS CORP
10026,JJSF,J & J SNACK FOODS CORP
10027,TNII,TELECOMMUNICATIONS NETWORK INC
10027,TNII,TELECOMMUNICATIONS NETWORK INC
10028,MINT,CANYON STATE CORP
10028,MINT,AMERICAN PACIFIC MINT INC
10028,MINT,AMERICAN PACIFIC MINT INC
10028,MINT,AMERICAN PACIFIC MINT INC
10028,DLS,AMERICAN PACIFIC MINT INC
10028,DLS,DALLAS GOLD & SILVER EXCHANGE IN
10028,DLS,DALLAS GOLD & SILVER EXCHANGE IN
10028,DGSE,DALLAS GOLD & SILVER EXCHANGE IN
10028,DGSE,D G S E COMPANIES INC
10028,DGC,D G S E COMPANIES INC
10028,DGSE,D G S E COMPANIES INC
10028,DGSE,D G S E COMPANIES INC
10028,DGSE,D G S E COMPANIES INC
10028,ELA,ENVELA CORP
10029,AIFS,A I F S INC
10029,AIF,A I F S INC
10030,,AMERICAN BRAKE SHOE & FDRY
10030,,AMERICAN BRAKE SHOE CO
10030,ABK,AMERICAN BRAKE SHOE CO
10030,ABK,ABEX CORP
10031,ANTQ,A A IMPORTING INC
10031,ANTQ,A A IMPORTING INC
10032,PLXS,PLEXUS CORP
10033,MABK,MIDAMERICA BANCSYSTEM INC
10034,HCSB,HOME & CITY SVGS BK ALBANY NY
10035,GGUY,GOOD GUYS INC
10036,NURO,NEUROTECH CORP
10037,FSLA,FRANKLIN S & L ASSN STHPLD MI
10037,FSLA,FRANKLIN S & L ASSN STHPLD MI
10037,FSVB,FRANKLIN SAVINGS BANK FSB
10037,FSVB,FRANKLIN SAVINGS BANK FSB
10037,FSVB,FRANKLIN BANK NATL ASSOC
10037,FBCP,FRANKLIN BANCORP INC
10038,POCI,PORTS OF CALL INC
10038,POCI,P O C I INC
10039,XIOX,XIOX CORP
10039,XIOX,XIOX CORP
10039,ATCM,AT COMM CORP
10039,ATCM,AT COMM CORP
10040,HARVY,HARVARD SECURITIES GROUP PLC
10040,HARVY,HARVARD GROUP PLC
10041,GGGG,4G DATA SYSTEMS INC
10042,CYNR,CANYON RESOURCES CORP
10042,CAU,CANYON RESOURCES CORP
10042,CAU,CANYON RESOURCES CORP
10042,CAU,CANYON RESOURCES CORP
10043,AATI,ANALYSIS & TECHNOLOGY INC
10043,AATI,ANALYSIS & TECHNOLOGY INC
10043,AATI,ANALYSIS & TECHNOLOGY INC
10044,RMCF,ROCKY MOUNTAIN CHOCOLATE FAC INC
10044,RMCF,ROCKY MOUNTAIN CHOCOLATE FAC INC
10044,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW
10045,OLVR,OLIVERS STORES INC
10046,CPUIA,COMMERCIAL PROGRAMMING UNLMTD
10046,CPUIA,COMMERCIAL PROGRAMMING UNLMTD
10046,MENUA,UNIVERSAL FRANCHISE OPPTYS CORP
10046,MENU,UNIVERSAL FRANCHISE OPPTYS CORP
10047,FOAM,TEXSTYRENE CORP
10047,LMNT,ARIS CORP
10047,LMNT,ARIS CORP
10047,LMNT,LAMONTS CORP
10047,LMNT,LAMONTS APPAREL INC
10048,CCCO,CENTURY COMMUNICATIONS CORP
10048,CTY,CENTURY COMMUNICATIONS CORP
10048,CTYA,CENTURY COMMUNICATIONS CORP
10049,,ABITIBI POWER & PAPER LTD
10050,ABLD,AMERICAN BLDGS CO
10050,ABCC,A B C INVESTMENT CO
10051,SEQL,SEQUEL CORP
10051,SEQL,SEQUEL CORP
10051,HOGG,HANGER ORTHOPEDIC GROUP INC
10051,HNGR,HANGER ORTHOPEDIC GROUP INC
10051,HNGR,HANGER ORTHOPEDIC GROUP INC
10051,HGR,HANGER ORTHOPEDIC GROUP INC
10051,HGR,HANGER ORTHOPEDIC GROUP INC
10051,HGR,HANGER ORTHOPEDIC GROUP INC
10051,HGR,HANGER INC
10051,,HANGER INC
10051,HNGR,HANGER INC
10051,HNGR,HANGER INC
10052,VLVL,VIDEO LIBRARY INC
10053,CDNI,CARDINAL INDUSTRIES INC
10054,BNUI,BIO NUTRIONICS INC
10055,GRAR,GREAT AMERICAN RECREATION INC
10055,GRAR,GREAT AMERICAN RECREATION INC
10056,NMSB,NEW MILFORD SAVINGS BANK
10056,NMSB,NEW MILFORD SAVINGS BANK
10056,NMSB,NEWMIL BANCORP INC
10056,NMSB,NEWMIL BANCORP INC
10056,NMIL,NEWMIL BANCORP INC
10057,,NATIONAL ACME CO
10057,NCM,NATIONAL ACME CO
10057,AMT,ACME CLEVELAND CORP
10057,AMT,ACME CLEVELAND CORP NEW
10058,ABKC,A B K C O INDUSTRIES INC
10058,,A B K C O INDUSTRIES INC
10058,ABKC,A B K C O INDUSTRIES INC
